00001	01	23
00001	02	5
00001	03	90
00001	04	39
00001	05	6
00001	06	42
00001	07	15
00001	08	85
00001	09	43
00002	01	66
00002	02	37
00002	03	0
00002	04	18
00002	05	8
00002	06	63
00002	07	79
00002	08	74
00002	09	2
00003	01	18
00003	02	72
00003	03	43
00003	04	56
00003	05	27
00003	06	88
00003	07	30
00003	08	60
00003	09	64
00004	01	47
00004	02	10
00004	03	44
00004	04	38
00004	05	3
00004	06	82
00004	07	69
00004	08	74
00004	09	32
00005	01	37
00005	02	35
00005	03	25
00005	04	12
00005	05	29
00005	06	73
00005	07	66
00005	08	74
00005	09	21
00006	01	95
00006	02	32
00006	03	50
00006	04	66
00006	05	87
00006	06	30
00006	07	31
00006	08	76
00006	09	94
00007	01	46
00007	02	34
00007	03	42
00007	04	64
00007	05	21
00007	06	86
00007	07	83
00007	08	95
00007	09	72
00008	01	73
00008	02	77
00008	03	60
00008	04	57
00008	05	62
00008	06	56
00008	07	11
00008	08	22
00008	09	76
00009	01	33
00009	02	82
00009	03	88
00009	04	79
00009	05	25
00009	06	13
00009	07	13
00009	08	98
00009	09	9
00010	01	89
00010	02	54
00010	03	62
00010	04	39
00010	05	8
00010	06	19
00010	07	67
00010	08	66
00010	09	97
00011	01	44
00011	02	1
00011	03	20
00011	04	65
00011	05	77
00011	06	17
00011	07	24
00011	08	18
00011	09	0
00012	01	10
00012	02	60
00012	03	16
00012	04	43
00012	05	99
00012	06	70
00012	07	18
00012	08	78
00012	09	71
00013	01	83
00013	02	74
00013	03	94
00013	04	92
00013	05	73
00013	06	33
00013	07	20
00013	08	76
00013	09	81
00014	01	17
00014	02	73
00014	03	42
00014	04	5
00014	05	78
00014	06	10
00014	07	70
00014	08	16
00014	09	45
00015	01	69
00015	02	37
00015	03	7
00015	04	44
00015	05	62
00015	06	96
00015	07	49
00015	08	3
00015	09	32
00016	01	42
00016	02	35
00016	03	79
00016	04	52
00016	05	65
00016	06	42
00016	07	34
00016	08	97
00016	09	91
00017	01	48
00017	02	98
00017	03	99
00017	04	62
00017	05	41
00017	06	31
00017	07	66
00017	08	23
00017	09	78
00018	01	24
00018	02	6
00018	03	63
00018	04	39
00018	05	62
00018	06	99
00018	07	20
00018	08	15
00018	09	93
00019	01	75
00019	02	79
00019	03	50
00019	04	12
00019	05	85
00019	06	78
00019	07	6
00019	08	64
00019	09	23
00020	01	2
00020	02	31
00020	03	32
00020	04	84
00020	05	54
00020	06	72
00020	07	8
00020	08	75
00020	09	88
00021	01	20
00021	02	25
00021	03	4
00021	04	74
00021	05	63
00021	06	81
00021	07	56
00021	08	61
00021	09	91
00022	01	68
00022	02	29
00022	03	10
00022	04	14
00022	05	94
00022	06	95
00022	07	12
00022	08	56
00022	09	27
00023	01	62
00023	02	10
00023	03	90
